,rawcyano,¼ö¿Â(¡É),DO(mg/L),T-N(mg/L),Tem_d,Rain_d,Q_d
124,0,5.8,14.2,4.043,-3.7683501,0.7480101,-118.271355
125,0,6.2,13.6,4.334,-2.0962603,0.23500466,-108.4862
126,0,7.3,13.8,4.41,-2.4836648,0.4389928,-86.04718
127,0,7.9,12.9,3.333,-9.913847,3.081406,-85.74963
128,0,10.4,13.1,4.178,-7.3186307,0.43268633,-156.0445
129,0,11.9,14.1,3.232,-12.520497,-0.2354711,-122.0659
130,0,13.6,9.9,2.97,-9.2405205,0.43268633,-142.67244
131,0,13.8,11.3,2.77,-11.834644,-0.13295534,-165.2651
132,0,14.9,11.2,2.732,-13.362088,0.43268633,-257.14426
133,475,17.1,12.5,2.484,-17.526701,1.2628436,-138.4743
134,14,18.8,9.3,2.55,-17.252579,0.45791224,-112.17528
135,641,20.3,10.7,1.701,-17.999876,0.029642433,-110.829956
136,70,21.3,10.7,1.747,-18.087454,0.43268633,-69.79416
137,441,22.1,10.1,1.636,-23.503855,0.49575108,-48.107365
138,3198,22.9,9.3,1.411,-21.250801,0.7480101,-59.807285
139,5791,22.0,7.5,1.999,-21.99097,0.40282762,-64.77152
140,22974,22.6,8.4,1.62,-23.988728,0.4676572,-66.86321
141,70173,22.9,10.4,1.783,-23.81049,1.2840605,-110.43583
142,44141,23.4,8.3,2.129,-23.135355,0.39315,-106.95773
143,78089,24.0,10.2,1.763,-21.423912,-3.272699,-45.767475
144,550,22.4,7.4,2.314,-24.86009,0.43268633,-304.35992
145,10125,24.4,8.6,2.281,-25.470535,1.7031465,-103.94801
146,33895,26.1,10.7,2.085,-29.304363,0.43268633,-51.070927
147,64617,28.7,8.2,1.881,-29.560453,1.0822533,-34.321526
148,46902,30.0,8.1,1.249,-25.558092,-1.6114321,-51.95103
149,556739,28.2,6.5,1.462,-25.16161,2.3984625,-80.24766
150,152380,25.7,7.5,1.675,-24.526709,-4.3476524,-151.36465
151,59418,25.8,7.0,2.246,-24.589134,-1.3774047,-116.21797
152,26839,24.5,7.7,2.135,-21.663887,0.4894446,-64.17877
153,10032,23.5,8.5,1.878,-19.308266,0.8047684,-37.851208
154,145807,23.3,10.0,1.745,-20.01967,1.2462217,-36.591263
155,39613,23.2,10.9,1.574,-18.67539,2.6651788,-33.74732
156,21749,21.8,9.8,1.637,-16.787159,0.5462029,-49.130688
157,8591,20.3,10.6,1.531,-14.26509,0.43268633,-57.4236
158,72418,19.5,11.4,1.671,-16.99507,0.43268633,-24.04081
159,20137,19.2,9.9,1.361,-10.982134,0.43268633,-26.691687
160,47359,16.3,10.7,1.751,-9.227905,1.3118029,-28.499071
161,27342,15.5,10.8,2.169,-13.687115,1.4858677,-64.08398
162,12585,15.5,9.3,2.734,-13.626755,-0.1943464,-140.20709
163,3756,14.8,9.4,3.192,-5.6213446,0.3149252,-97.948074
164,1278,12.0,10.7,3.235,-6.273557,0.43140087,-66.70286
165,759,9.3,11.6,3.501,-6.2698817,1.6750621,-62.317085
166,3474,9.6,11.8,2.24,-1.0334148,0.43268633,-75.22125
167,347,7.3,12.9,2.388,-4.371548,0.09456298,-55.363407
168,2089,7.1,13.4,2.327,1.0190557,0.43268633,-42.759777
169,241,5.5,14.5,2.525,-1.4845955,0.43268633,-37.819443
170,151,4.8,13.9,2.877,1.2595316,0.43268633,-37.254795
171,253,4.0,12.9,3.2,3.2152038,0.43268633,-32.192406
172,0,2.4,13.7,3.012,0.7650528,0.43268633,-27.688087
173,0,4.0,12.0,2.735,-1.3673569,1.5615454,-24.120934
174,0,5.7,12.4,3.312,-0.53209865,0.43268633,-49.157654
175,0,5.8,12.5,3.596,-1.8431742,0.43268633,-35.310184
176,0,6.0,13.2,3.054,-0.9141154,2.3813872,-28.57807
177,100,9.0,11.2,4.324,-4.6483736,-0.1047703,-210.4026
178,0,8.1,12.2,3.98,-6.192305,1.8516433,-67.0531
179,0,11.3,12.3,4.118,-9.279187,0.4894446,-54.91962
180,0,12.3,11.6,3.348,-9.743781,0.43268633,-38.91931
181,117,14.4,11.0,2.601,-13.325805,-7.395572,-52.788433
182,0,14.6,9.8,3.274,-12.496185,1.2966734,-154.24727
183,34,15.2,8.8,2.423,-15.232449,2.07237,-263.79727
184,175,16.8,9.9,2.9,-14.316093,1.6785005,-228.51274
185,0,17.6,9.7,2.335,-18.692194,0.43268633,-235.2437
186,161,18.7,11.1,1.964,-17.684862,0.39315,-132.43156
187,119,19.7,10.5,1.973,-18.612434,0.43268633,-111.424
188,9010,22.3,11.5,1.672,-21.296432,0.43268633,-81.344345
189,15771,22.9,9.5,1.841,-23.106703,1.0759468,-48.80618
190,11089,23.3,7.9,1.792,-22.132793,1.8503578,-63.18302
191,24228,23.4,8.8,1.85,-24.932098,0.41037196,-104.081985
192,23174,24.6,8.7,1.736,-24.394642,2.814498,-91.350044
193,11380,24.3,8.6,2.045,-23.776049,3.4668775,-91.629814
194,1159,23.9,6.7,2.15,-26.223303,-2.4691513,-1722.7047
195,905,25.0,7.9,2.789,-28.007439,0.31407732,-243.86128
196,1894,26.1,8.6,2.65,-27.169243,0.43268633,-116.14404
197,5977,27.5,8.0,2.6,-29.885206,4.077829,-112.7036
198,16715,29.4,7.0,2.548,-28.126371,0.43268633,-140.92235
199,12976,30.3,8.9,2.298,-29.82925,0.43268633,-102.4702
200,79466,30.8,8.8,2.466,-29.804577,0.04825878,-46.805744
201,204537,30.8,13.2,1.885,-27.318678,0.41037196,-52.9117
202,67066,27.6,8.5,1.656,-21.294367,7.2815185,-140.79355
203,1574,23.9,7.5,2.625,-25.071962,0.7401528,-266.62766
204,4490,24.5,7.9,3.267,-22.99555,8.097688,-58.135273
205,436,21.4,7.3,2.069,-20.55345,0.43268633,-352.34906
206,1527,22.3,9.5,2.328,-20.739304,0.8629588,-206.01456
207,1035,21.9,9.2,2.425,-21.225729,3.3071074,-140.57582
208,473,20.0,9.4,2.583,-15.233824,0.43268633,-287.49542
209,1110,18.9,10.1,2.378,-17.574928,0.43268633,-177.84271
210,263,18.6,10.2,2.297,-15.642189,-0.3436399,-119.65123
211,501,16.8,11.5,2.304,-6.1352224,0.43268633,-107.04619
212,61,14.0,13.1,2.461,-8.6056,0.43268633,-88.568695
213,243,13.4,13.9,2.507,-9.217908,1.2083828,-70.982544
214,1057,13.2,11.1,2.522,-4.4792857,0.55250937,-77.93382
215,1157,10.3,10.5,2.617,-4.3202257,0.6155741,-81.36709
216,4276,8.3,12.2,3.115,-2.109149,0.43268633,-75.081566
217,2807,7.1,12.0,3.107,-1.0243142,0.43268633,-71.91819
218,601,5.7,12.2,3.383,-5.3821487,0.444428,-67.7947
219,201,7.2,11.0,3.376,0.24885426,0.43268633,-133.52844
220,120,5.4,12.9,3.411,-2.9829423,0.43268633,-107.02904
221,126,5.9,14.2,3.707,0.02551262,0.43268633,-85.91413
222,0,4.1,13.5,3.337,2.8232105,0.43268633,-83.72441
223,0,2.7,14.4,3.555,4.378358,0.43268633,-66.41465
224,0,3.2,13.9,3.452,0.6393336,0.43268633,-59.036976
225,0,4.2,13.6,3.518,-0.27411115,0.43268633,-61.57191
226,0,4.0,12.9,3.598,-0.95502657,0.52728343,-61.523132
227,0,5.6,13.8,3.508,-3.1472785,0.42730296,-115.400475
228,0,6.2,14.0,3.808,-4.8125906,0.62818706,-49.705357
229,0,7.7,13.6,4.052,-2.7759035,0.43268633,-55.756413
230,0,8.6,13.5,3.743,-6.9254436,0.43268633,-103.90966
231,0,10.4,13.8,3.886,-8.159605,0.86152667,-57.36045
232,0,10.6,12.1,3.562,-6.855933,-0.3436399,-32.48924
233,0,12.5,12.1,3.506,-11.920316,1.4606417,-57.43697
234,89,14.8,10.9,3.723,-13.920205,0.43268633,-157.57153
235,36,16.1,10.6,3.121,-15.664293,0.44529927,-150.75232
236,185,17.1,11.6,2.688,-15.378278,0.62818706,-94.89455
